Unnamed: 0;Аналитика;Код;Артикул;Количество;Себестоимость
167.0;Элемент питания Kodak MAX LR03/286 BL4 4943;4943.0;lБ0005124;100;3185.95
168.0;Элемент питания Kodak MAX LR03/286 plastic box 24 583084;583084.0;lБ0014326;24;663.44
169.0;Элемент питания Kodak MAX LR20/373 BL2 5269;5269.0;lБ0005129;10;1362.82
170.0;Элемент питания Kodak MAX LR6/316 BL10 421079;421079.0;lБ0005126;150;4163.82
171.0;Э/п Kodak MAX LR6/316 BL12 659281;659281.0;lБ0008961;24;691.9
172.0;Элемент питания Kodak MAX LR6/316 BL2 7299;7299.0;lБ0005131;50;1672.32
173.0;Элемент питания Kodak MAX LR6/316 BL4 4944;4944.0;lБ0005120;480;15335.43
174.0;Элемент питания Kodak MAX LR6/316 plastic box 24 583082;583082.0;lБ0014327;72;1990.08
175.0;Элемент питания Kodak R03/286 4S 59335;59335.0;lБ0005139;320;2835.44
176.0;Элемент питания Kodak R14/343  2S 6143;6143.0;lБ0005140;78;2305.2
177.0;Элемент питания Kodak  R20/373  2S 6142;6142.0;lБ0005138;88;4162.33
178.0;Элемент питания Kodak R6/316 4S 6144;6144.0;lБ0005141;276;2445.51
179.0;Элемент питания Kodak ULTRA PREMIUM LR6/316 BL4 583088;583088.0;lБ0005248;8;295.03
180.0;Элемент питания Kodak XTRALIFE LR03 (4S) (ОПТ.уп. по 15 спаек 4S) (кратно 60шт!!!) 680992;680992.0;lБ0029221;60;1205.4
181.0;Э/п Kodak XTRALIFE LR03/286 bulk 20 815635;815635.0;lБ0054764;20;420.58
182.0;Э/п Kodak XTRALIFE LR06/316 bulk 20 815636;815636.0;lБ0054765;20;420.58
183.0;Элемент питания Kodak XTRALIF LR6-60 (4S) (ОПТ.уп. по 15спаек 4S) (кратно 60шт!!!) 680993;680993.0;lБ0029222;60;1205.57
184.0;Э/п Philips литиевые CR2032 2BL CR2032P2/51 888544;888544.0;lБ0062716;20;1468.9
185.0;Э/п Philips крона 9V 6LR61/9V 6F22 1BL Power 6LR61P1B/51 888543;888543.0;lБ0062717;2;382.26
186.0;Э/п Philips LR03/286/AAA алкалиновые 1,5v 4BL Power  LR03P4B/51 888546;888546.0;lБ0062736;116;4234.8
187.0;Э/п Philips LR6/316/AA алкалиновые 1,5v 4BL Power LR6P4B/51 888550;888550.0;lБ0062746;48;1764
188.0;Э/п Philips LR03/286/AAA алкалиновые 1,5v 4BL Premium LR03M4B/51 888545;888545.0;lБ0062755;48;2884.32
189.0;Э/п Philips LR6/316/AA алкалиновые 1,5v 4BL Premium LR6M4B/51 888549;888549.0;lБ0062753;48;2884.32
190.0;Э/п ТРОФИ BASIC ENERGY POWER 6LR61/6LF22 крона BL1 63485;63485.0;lC0034928;74;6099.85
191.0;Э/п ТРОФИ ECO ENERGY LR03/286 4S 582434;582434.0;lБ0017041;496;4751.47
192.0;Э/п ТРОФИ ECO ENERGY LR03/286 BL4 618547;618547.0;lБ0017044;40;589.06
193.0;Э/п ТРОФИ ECO ENERGY LR6/316 4S 582435;582435.0;lБ0017042;360;3456.49
194.0;Э/п ТРОФИ ECO ENERGY LR6/316 BL4 582005;582005.0;lБ0017046;120;1767.18
195.0;Э/п ТРОФИ ENERGY POWER CR2032 BL5 492081;492081.0;lC0032185;150;1520.5
196.0;Э/п ТРОФИ GREEN POWER аккумулятор NI-MH HR6-2BL 1500mAh (20/240/17280) 661812;661812.0;lБ0019500;4;377.89
197.0;Элемент питания ТРОФИ HEAVY DUTY R03/286 10S Классика 711742;711742.0;lБ0042309;120;455.78
198.0;Элемент питания ТРОФИ HEAVY DUTY R03/286 4S Классика 521192;521192.0;Б0012907;760;2076.83
199.0;Элемент питания ТРОФИ HEAVY DUTY R14/343 2S Классика 647775;647775.0;lБ0023145;168;2476.64
